,artist,title,tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
54,kanye west,through the wire,4mmkhcEm1Ljy1U9nwtsxUo,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089
55,young buck,shorty wanna ride,6Y9kdB2O0h9gq9y2vclsWT,0.582,0.621,11,-6.183,0,0.283,0.00317,0,0.111,0.331,179.458
56,luniz,i got 5 on it,4IYKjN1DrYzxKXt0umJqsG,0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926
57,yung joc,it's goin' down (feat. nitti),05Sgj1Hx03ZXc57gsV1kfX,0.888,0.577,1,-7.702,0,0.0612,0.0986,0,0.131,0.609,84.003
58,soulja boy,kiss me thru the phone,0LVghzBGRulc2TX9HFLYBl,0.757,0.719,7,-3.797,1,0.108,0.0192,0,0.084,0.814,150.011
59,waka flocka flame,hard in da paint,3XQY8kDjI8LARMIC9xkxQk,0.611,0.66,11,-5.883,1,0.0839,0.198,0,0.365,0.583,71.544
60,petey pablo,freek-a-leek,4UNhyW0R7qylxrF6Z0q2Tb,0.737,0.697,2,-3.716,1,0.254,0.0756,0,0.359,0.662,104.917
61,outkast,ms. jackson,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948
62,2pac,2 of amerikaz most wanted,6S5SJlNXgrUBTLa58NMwGk,0.853,0.876,1,-3.415,1,0.131,0.0426,0.00202,0.0548,0.845,99.236
63,smilez and southstar,tell me,7aXXjA800sXYKpM8D9pCVT,0.693,0.88,11,-3.228,0,0.0661,0.0901,0,0.211,0.397,88.088
64,cam’ron,oh boy,4gdQ8QShlC3toP9Mkc8DwB,0.754,0.767,6,-5.586,1,0.145,0.0216,0,0.172,0.828,83.014
65,bone crusher,never scared (feat. killer mike & t.i.) - club mix,4kmIO0yPq92dXtKCL28RfC,0.586,0.927,11,-4.077,0,0.194,0.00924,1.85e-06,0.344,0.528,73.023
66,webbie,independent (feat. lil' boosie and lil' phat),65D95SmygxGCQGiI64eaZf,0.725,0.431,1,-5.988,0,0.0707,0.00113,0,0.14,0.199,174.083
67,rick ross,hustlin',3hQCHzkE5oSA3F1xM8bpcM,0.502,0.652,9,-7.224,1,0.3,0.0848,0,0.0675,0.648,136.08
68,lil' kim,magic stick,0aULRU35N9kTj6O1xMULRR,0.849,0.499,2,-7.872,1,0.271,0.117,4.97e-05,0.268,0.504,92.982
69,freeway,what we do,5kDkWHFx0AEvJ1Pfm2i0ac,0.569,0.894,9,-4.931,0,0.318,0.00715,0,0.158,0.293,188.892
70,kanye west,can't tell me nothing,4ImL3v98u2BLkwnyQDjfRm,0.594,0.614,5,-6.091,0,0.0536,0.0121,0,0.823,0.101,79.968
71,lil wayne,go dj,4svCVV4VHEL3Z4efES868h,0.736,0.792,6,-3.137,1,0.146,0.0617,0,0.223,0.699,157.955
72,g-unit,poppin' them thangs,4E5IFAXCob6QqZaJMTw5YN,0.769,0.818,6,-1.385,0,0.192,0.263,0,0.0787,0.918,88.017
73,jermaine dupri,welcome to atlanta (feat. ludacris),19VTqucnxJuH6kilNdweTh,0.751,0.786,3,-7.441,0,0.383,0.0126,0,0.107,0.679,95.989
74,big pun,twinz (deep cover 98) (feat. fat joe),0B8drtTSp68pZdkmVrG9ZA,0.633,0.764,0,-7.212,1,0.323,0.32,3.4e-06,0.234,0.522,94.971
75,kanye west,drive slow,6vB49BJ70zBpDrrAPwdaB8,0.593,0.593,11,-8.216,1,0.289,0.0306,9.94e-06,0.229,0.488,81.291
76,ying yang twins,say i yi yi,46XvcuEZFFInDilbYUNHBn,0.782,0.627,8,-6.509,0,0.115,0.00233,1.27e-05,0.201,0.485,94.967
77,dr. dre,xxplosive,0Ed7MeXx64f6OcIuoTRCg1,0.765,0.88,1,-4.361,1,0.116,0.176,1e-05,0.139,0.929,168.96
78,ja rule,put it on me,0OvwzS8FX73Bw7ykMRmffU,0.831,0.79,1,-4.714,0,0.165,0.0024,0,0.0515,0.791,93.14
79,fabolous,make me better,0YkJU6TjjwzsVXUPRIO0DB,0.607,0.599,11,-6.886,1,0.0995,0.33,0,0.199,0.562,86.491
80,jeezy,go crazy (remix),3iUnagQlUtjjCNQ3us3lPi,0.396,0.896,4,-4.398,0,0.396,0.0309,0,0.207,0.632,86.882
81,d4l,laffy taffy,2ajhenDRiiAnCHHjsIOHhJ,0.891,0.439,7,-7.994,0,0.428,0.0351,0,0.0932,0.622,77.499
82,paul wall,sittin' sidewayz (feat. big pokey),24PWKmemCvqfyVXODhoKHW,0.721,0.621,1,-4.378,1,0.306,0.00469,0.0103,0.199,0.568,159.967
83,e-40,u and dat (feat. t. pain & kandi girl),7g7M96UGiA7OR79H86gV4m,0.858,0.484,6,-7.448,0,0.277,0.0241,1.8e-06,0.123,0.329,99.992
84,eminem,the real slim shady,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504
85,fat joe,what's luv? (feat. ja-rule & ashanti),2mKouqwAIdQnMP43zxR89r,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955
86,hot boys,i need a hot girl,25CnqAR7fzAQbb2SVoSa0b,0.815,0.797,2,-6.304,1,0.186,0.0557,0,0.641,0.65,96.006
87,qb finest,oochie wally - remix,0LAlDN9m1VodUMl6Ww1cm1,0.64,0.721,7,-6.955,1,0.322,0.0564,0.000842,0.774,0.714,93.346
88,the game,hate it or love it,2wGSgTmgSF3xjRrHkTc25R,0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998
89,dr. dre,forgot about dre,7iXF2W9vKmDoGAhlHdpyIa,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974
90,black rob,whoa!,71u5SjnkSQgzIt1UzHchbi,0.736,0.705,7,-6.231,1,0.24,0.0579,0,0.321,0.557,86.404
91,big tymers,#1 stunna,7kBdenpTmgWfAz9clmBcok,0.552,0.842,8,-4.961,1,0.285,0.0176,0.00327,0.258,0.561,89.017
92,nas,ether,06UPCXzhIsXnceSXmKLMEY,0.573,0.831,7,-5.586,1,0.433,0.0401,0,0.0909,0.766,76.352
93,snoop dogg,down 4 my n's,14uUTfHIwIp587cz13UI5A,0.831,0.765,6,-5.661,0,0.273,0.0412,0,0.352,0.523,90.995
94,jagged edge,where the party at (feat. nelly),5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491
95,eminem,renegade,5ASZFbCod633wLragmPYTj,0.764,0.724,1,-4.748,0,0.368,0.441,1.27e-06,0.177,0.826,84.797
96,birdman,money to blow - street version,4gaz3uvhKgO078XcdzyPsl,0.709,0.579,6,-8.686,1,0.063,0.00934,0,0.353,0.697,133.028
97,young gunz,no better love,0K7XjmTNFwQ2qwHn4MjlDx,0.674,0.897,8,-3.053,1,0.259,0.181,0,0.195,0.525,91.194
98,snoop dogg,gin n juice (feat. dat nigga daz),7sPt2cfrg7DrVP52zfvS1i,0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695
99,t.i.,bring em out,3CcvahnsiArpTHYQEWV2Au,0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579
100,dem franchize boyz,"lean wit it, rock wit it",7cVmKBwzPsh4Fmb6SplfEm,0.886,0.62,5,-5.854,1,0.307,0.082,0,0.1,0.6,76.035
101,houston,i like that,4MMqj7HaLL8BphbBZnlsdq,0.797,0.502,10,-3.925,0,0.0968,0.0154,0,0.1,0.385,106.997
102,j-kwon,tipsy - radio mix,2lVDc57IMK6nypg2iuEWVR,0.925,0.748,11,-5.572,0,0.278,0.0484,0,0.101,0.615,92.978
103,trick daddy,let's go (feat. big d & twista),1fLibtVj3MrNTwRZq5yUOs,0.748,0.767,11,-7.806,0,0.172,0.0267,0,0.334,0.519,133.929
104,young dro,shoulder lean (feat. t.i.),2OqYarizUUGzSSNHPrDEii,0.7,0.518,4,-7.191,0,0.177,0.0471,0,0.1,0.542,75.973
105,beanie sigel,anything,1xixUOjgdqMOPZxursTms3,0.803,0.749,10,-5.953,1,0.219,0.0621,0.0033,0.0694,0.901,81.502
106,eminem,bitch please ii,7lgvU7WnwcNZ8dbGUz8yhP,0.918,0.586,1,-2.89,1,0.133,0.0783,0,0.145,0.779,95.517
107,gucci mane,wasted (feat. plies),11hQvcLydGTyXS3Wo6AkmW,0.702,0.727,5,-3.443,1,0.155,0.0827,0,0.0831,0.549,155.093
108,slum village,selfish,7sZCAHP2duHwr5M5K7lHsb,0.71,0.597,7,-6.468,1,0.239,0.221,0,0.432,0.49,95.769
109,yung l.a.,ain't i - main voc up,6cnufgF6qLJGZT2PRFZBr1,0.665,0.826,11,-3.126,1,0.116,0.141,0,0.0926,0.541,77.504
110,the alchemist,hold you down,3EyNj8ps0rYIAF4xIpFCjc,0.756,0.672,1,-8.603,1,0.268,0.178,0,0.134,0.532,90.848
111,50 cent,outta control - remix,7BKi4ZcyMBXeAvJ1OPxhdV,0.77,0.587,8,-5.99,0,0.265,0.0268,0,0.0621,0.574,92.009
112,cam’ron,down and out,5mEwhCsqadBZIE7SSrv1gC,0.74,0.841,6,-2.891,0,0.237,0.0232,0,0.111,0.673,83.007
113,various artists,no problem,0EgigrGFGb4PHaVNb7fgK7,0.858,0.731,1,-7.224,1,0.237,0.053,0,0.15,0.139,85.984
114,diddy,bad boy for life,2eOuL8KesslTLQERQPu11D,0.669,0.829,1,-3.801,1,0.49,0.179,0,0.241,0.61,118.934
115,jay-z,"money, cash, hoes",1FkgoPdajl8gwC1hlyvHtC,0.87,0.574,1,-6.747,1,0.393,0.0106,0,0.209,0.46,90.099
116,rich boy,throw some d's,6SmPPtaMnfxgz5duA6t9Cu,0.697,0.86,11,-5.181,1,0.43,0.0368,0,0.0721,0.433,160.895
117,lloyd banks,"beamer, benz, or bentley",0cNJ3huiV99wvUN1tmQLTL,0.652,0.671,4,-5.376,0,0.315,0.00402,2.89e-05,0.598,0.518,159.963
118,ludacris,area codes,3lcC9CnN7Rpo1ugATzmYjY,0.86,0.688,9,-7.203,0,0.434,0.399,0,0.67,0.622,100.934
119,beanie sigel,feel it in the air,4rICUbwZZuqUOcgQgtux2k,0.358,0.596,3,-11.906,0,0.224,0.147,0,0.212,0.484,178.008
120,nelly,country grammar (hot shit),3wMUvT6eIw2L5cZFG1yH9j,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831
121,shyne,bad boyz (feat. barrington levy),2MNQMtZbOb7rBWli3TSok0,0.788,0.594,6,-4.864,0,0.336,0.0249,1.65e-05,0.0534,0.691,83.84
122,the diplomats,dipset anthem,3rvM0obwHthpskrZKQxYLa,0.699,0.696,0,-5.745,1,0.191,0.103,0,0.211,0.428,83.596
123,fabolous,can't deny it (feat. nate dogg),7K4Aq4awgYvDKEJdEvvl4j,0.916,0.821,4,-4.118,0,0.15,0.0528,0,0.0635,0.592,90.04
124,the game,put you on the game,0e7S689mFbBnIWTWtjc4b4,0.503,0.735,7,-4.182,1,0.333,0.0197,0,0.102,0.694,175.972
125,big boi,kryptonite,4i2HYTGM7yHty0qVhD3lqD,0.863,0.916,2,-4.523,1,0.137,0.0829,7.09e-06,0.566,0.964,145.182
126,memphis bleek,round here,0KAGYcaO4BsbRMPMdeUDCS,0.696,0.555,0,-4.323,1,0.101,0.000565,0,0.107,0.134,77.485
127,ja rule,always on time,4hrae8atte6cRlSC9a7VCO,0.839,0.706,5,-6.104,0,0.199,0.208,0,0.242,0.839,96.673
128,lil' kim,crush on you,1bb6bROP3OXMHcPw84MtmN,0.827,0.635,11,-6.77,0,0.251,0.278,0.000119,0.109,0.766,88.87
129,the lox,"ryde or die, b****",28TaYSTqNY96c2oyUyAwwg,0.763,0.88,4,-4.741,0,0.348,0.066,0,0.0549,0.779,95.005
130,dr. dre,"nuthin' but a ""g"" thang",4YtoipFgf4k0AfD17ZfD5X,0.801,0.699,11,-8.18,0,0.279,0.00575,0,0.146,0.655,94.605
131,cam’ron,hey ma,0Uhnzk5zI46IRlQ04LNOtc,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33e-06,0.0796,0.938,90.345
132,jermaine dupri,money ain't a thang (feat. jay-z),12LjNmRrdzhTn1vMcxN81m,0.854,0.738,6,-7.284,0,0.244,0.0581,0,0.106,0.847,100.0
133,lost boyz,renee,71mNLAZsr1frFhpCa3JI8G,0.783,0.457,4,-9.747,0,0.18,0.0442,0,0.121,0.539,91.996
134,the game,let's ride,4JKwW0A2OQeAUpYZd99Lfo,0.878,0.739,5,-5.157,1,0.189,0.169,0,0.119,0.824,93.601
135,bubba sparxxx,ugly,3ltqIDgVV4QSNDQPQ4y5kr,0.751,0.831,6,-5.743,1,0.178,0.265,7.97e-05,0.201,0.707,90.834
136,three 6 mafia,poppin' my collar (feat. project pat),5zd9TgduWbfFXwgnm3K3Rz,0.729,0.795,7,-4.579,1,0.144,0.354,0,0.536,0.856,146.747
137,boyz n da hood,dem boyz,59xyRqG06dGbTmmJFVFbyQ,0.782,0.63,1,-5.683,1,0.162,0.00161,0,0.151,0.295,78.516
138,lil jon,snap yo fingers,6o3s08kk2fQI37vxGZDrJ1,0.835,0.757,8,-5.029,0,0.23,0.00647,0,0.29,0.626,82.038
139,p$c,i'm a king,5h21AlYy4mgHfQp9jUAUGi,0.73,0.483,0,-8.959,1,0.327,0.0428,0,0.103,0.535,168.049
140,fabolous,trade it all (feat. jagged edge),1x4co3nrqL4kuiqYXh0nJk,0.761,0.426,8,-8.124,0,0.356,0.0732,0,0.133,0.569,92.448
141,lupe fiasco,"kick, push",6nz35DNIzbtj5ztpDEcW1j,0.652,0.809,5,-5.276,1,0.17,0.164,0,0.175,0.512,94.786
142,ja rule,livin' it up,52gqeRlrBE7hqMlRxEsi6y,0.874,0.768,6,-4.086,1,0.311,0.0554,0,0.041,0.636,106.095
143,8ball & mjg,you don't want drama,48F4fY1pKOTWN1H8q99dJE,0.777,0.871,7,-5.588,1,0.236,0.00998,0,0.366,0.624,140.098
144,nas,you owe me (feat. ginuwine),2VqjCBJ4AxpDTrNRKhL0Pw,0.867,0.487,1,-14.044,1,0.266,0.167,0,0.108,0.696,110.026
145,trick daddy,nann nigga,7d9I42jF759n5HuUeoulzR,0.837,0.819,2,-5.245,1,0.211,0.000507,0,0.323,0.645,149.918
146,outkast,the way you move (feat. sleepy brown) - radio mix,1czXAuXNIGMhEkeSl08C5W,0.869,0.608,5,-4.866,0,0.0474,0.137,8.71e-05,0.0624,0.627,125.992
147,lloyd banks,i'm so fly,0MjM12n2Blr3UxS083X5cQ,0.629,0.625,8,-4.258,0,0.317,0.146,0,0.0756,0.789,179.666
148,twista,slow jamz (feat. kanye west & jamie foxx),1boHm9rjmvzxpJASd9dnGK,0.561,0.764,2,-6.645,0,0.138,0.373,0,0.157,0.598,145.158
149,ludacris,what's your fantasy (featuring shawna),4LwOrnuxJwR7C5Sw4liY4Z,0.915,0.79,6,-3.186,0,0.207,0.16,0,0.112,0.967,140.095
0,ali farka touré,ai du (with ry cooder),3c6wivu78aLN7ZXp8UbpaI,0.57,0.225,5,-17.168,0,0.029,0.306,0.0586,0.0689,0.408,151.78
1,"ali farka touré, toumani diabaté",ruby,56K7H3Ipsce0Csn2v4u8kZ,0.361,0.31,9,-12.102,1,0.0398,0.802,0.687,0.128,0.408,177.659
2,ali farka touré,savane,0Ya5bHuA3kyiePOhIQfQtW,0.776,0.279,4,-10.45,0,0.0615,0.772,0.134,0.0567,0.509,135.866
3,"ali farka touré, toumani diabaté",monsieur le maire de niafunké,00lcn90nnKszEEuVgO8VzK,0.593,0.428,0,-13.515,1,0.0293,0.803,0.861,0.124,0.38,99.791
4,ali farka touré,bonde (with ry cooder),7L5FEYVfpIEGHJOv6gZ6EW,0.424,0.538,2,-17.016,1,0.0966,0.707,0.00644,0.0774,0.5,172.936
5,"ali farka touré, toumani diabaté",sabu yerkoy,5wUA6MSNGGORassu6tHnAJ,0.599,0.364,4,-12.63,1,0.0333,0.787,0.0658,0.0614,0.697,81.317
6,ali farka touré,ai bine,4xkNHzlCNBkJrL0PlOLDRP,0.322,0.42,6,-13.367,0,0.0321,0.656,0.124,0.0828,0.29,92.978
7,"ali farka touré, toumani diabaté",ai ga bani,2VloJArbBxVBjVP6S98zw0,0.534,0.384,10,-10.842,1,0.0306,0.882,0.564,0.0698,0.634,79.224
8,ali farka touré,soukora (with ry cooder),0WON7ccM42foBwZikHsf7v,0.332,0.394,3,-14.453,1,0.0321,0.49,0.00086,0.343,0.714,86.449
9,"ali farka touré, toumani diabaté",56,4ML8gLVDid1m2pRDHGUQQ7,0.448,0.411,11,-10.141,1,0.0292,0.807,0.807,0.121,0.471,89.475
10,ali farka touré,heygana,3DtHJ8fImqihyFylpeqdqA,0.489,0.536,5,-13.289,0,0.0384,0.654,0.000433,0.337,0.61,136.908
11,"ali farka touré, toumani diabaté",simbo,39M353KyEDfl468Bm69s3L,0.52,0.383,5,-11.835,1,0.0338,0.79,0.821,0.0809,0.724,89.983
12,ali farka touré,diaraby (with ry cooder),1WmRNq13XPvbmIRcZljM3D,0.555,0.275,7,-18.638,0,0.0359,0.783,0.0671,0.0829,0.335,142.7
13,"ali farka touré, toumani diabaté",be mankan,7CA7jcMHe5pnXA7QQmgGBR,0.583,0.206,4,-12.297,1,0.0416,0.9,0.38,0.123,0.483,123.362
14,ali farka touré,asco,21blxUn7Ttcrj5iPpNz1DH,0.41,0.317,5,-14.817,0,0.0456,0.924,0.934,0.0975,0.239,184.038
15,"ali farka touré, toumani diabaté",soumbou ya ya,1NLomex6hDLDMCej9NR0BN,0.549,0.468,5,-9.927,1,0.0332,0.8,0.928,0.0724,0.743,97.171
16,ali farka touré,gomni (with ry cooder),4ezXKef6PFAaunWQ0IFyyq,0.404,0.393,8,-18.083,1,0.0368,0.479,0.21,0.0387,0.7,78.914
17,"ali farka touré, toumani diabaté",warbé,3T5vxl7qadr3rh7YVV296S,0.594,0.221,4,-19.161,1,0.0478,0.937,0.914,0.353,0.372,148.34
18,ali farka touré,mahini me (feat. taj mahal) - 2017 remastered version,1No6xpDnfTqDIpON5Zqnmd,0.649,0.401,9,-15.361,0,0.0306,0.891,0.525,0.329,0.523,123.406
19,"ali farka touré, toumani diabaté",mamadou boutiquier,4IaqsaM4hrXiSep5zQIVku,0.711,0.404,0,-10.059,1,0.0342,0.801,0.95,0.0597,0.449,96.591
20,ali farka touré,lasidan (with ry cooder),6Yq9dTtHeuMkvnfcEZZFex,0.427,0.492,1,-16.03,1,0.0318,0.245,0.022,0.105,0.76,99.351
21,"ali farka touré, toumani diabaté",doudou,0nF3QZLQ8O1vQ4SjD3IdRS,0.404,0.397,4,-11.112,1,0.0371,0.848,0.725,0.156,0.69,171.012
22,ali farka touré,goye kur - 2017 remastered version,5VkD522syW1UKAEMHPNhF2,0.522,0.607,8,-10.764,0,0.0308,0.215,0.00213,0.0664,0.564,100.339
