artist,title
buddy holly,peggy sue
the chantels,maybe
guns n’ roses,sweet child o’ mine
elvis presley,don’t be cruel
the jimi hendrix experience,hey joe
parliament,flash light (single version)
beck,loser
new order,bizarre love triangle
the beatles,come together (original studio mix)
bob dylan,positively 4th street
otis redding,try a little tenderness
bill withers,lean on me (album version)
four tops,reach out i’ll be there
the everly brothers,bye bye love
them,gloria
the beach boys,in my room
? and the mysterians,96 tears (original stereo lp version)
the beach boys,"caroline, no (mono)"
prince,1999 (single edit)
hank williams,your cheatin’ heart
neil young,rockin' in the free world (live)
the chords,sh-boom
the lovin’ spoonful,do you believe in magic?
dolly parton,jolene
john lee hooker,boom boom
howlin’ wolf,spoonful
the left banke,walk away renée
lou reed,walk on the wild side
roy orbison,"oh, pretty woman"
sly & the family stone,dance to the music
chic,good times (12″ version)
muddy waters,hoochie coochie man
van morrison,moondance (original stereo mix)
james taylor,fire and rain
the clash,should i stay or should i go
muddy waters,mannish boy
bob dylan,just like a woman
marvin gaye,sexual healing
the animals,we’ve gotta get out of this place
the byrds,i’ll feel a whole lot better
ray charles,i got a woman
buddy holly,everyday
afrika bambaataa & soulsonic force,planet rock (planet rock: the album version)
patsy cline,i fall to pieces
dion,the wanderer
dusty springfield,son of a preacher man
sly & the family stone,stand!
elton john,rocket man
the b‐52’s,love shack
the spencer davis group,gimme some lovin’
the band,the night they drove old dixie down (original studio mix)
jackie wilson,(your love keeps lifting me) higher and higher
sly & the family stone,hot fun in the summertime (mono single version)
the sugarhill gang,rapper’s delight
aretha franklin,chain of fools
black sabbath,paranoid
bobby darin,mack the knife
the drifters,money honey
mott the hoople,all the young dudes
ac/dc,highway to hell
blondie,heart of glass (12″ disco mix edit)
radiohead,paranoid android (live)
the troggs,wild thing
the who,i can see for miles (mono)
jeff buckley,hallelujah
the dells,"oh, what a night"
stevie wonder,higher ground
smokey robinson & the miracles,ooo baby baby
the crystals,"he’s a rebel (recorded by the blossoms, but credited to the crystals)"
randy newman,sail away
archie bell & the drells,tighten up
the ronettes,walking in the rain
new york dolls,personality crisis
u2,sunday bloody sunday (“war” outtake)
the modern lovers,roadrunner
george jones,he stopped loving her today
the beach boys,sloop john b.
chuck berry,"sweet little sixteen (original release, take 14)"
the beatles,something (original studio mix)
jefferson airplane,somebody to love (stereo)
bruce springsteen,born in the u.s.a. (version 11a)
the staple singers,"i'll take you there (7"" version)"
david bowie,ziggy stardust
the cure,pictures of you (album original mix)
the dixie cups,chapel of love
bill withers,ain’t no sunshine
stevie wonder,you are the sunshine of my life
joni mitchell,help me
blondie,call me (re‐recorded)
elvis costello & the attractions,"(what’s so funny ’bout) peace, love and understanding"
howlin’ wolf,smokestack lightnin’
pavement,summer babe (winter version)
run‐d.m.c. feat. aerosmith,walk this way
barrett strong,money (that’s what i want)
the beatles,can't buy me love
eminem featuring dido,stan (explicit)
the zombies,she’s not there (“stereo underdub” version)
the clash,train in vain (original studio mix)
al green,tired of being alone
led zeppelin,black dog
the rolling stones,street fighting man (original studio mix)
bob marley & the wailers,get up stand up
neil young,heart of gold
blondie,one way or another
prince,sign “☮︎” the times (single edit)
madonna,like a prayer
rod stewart,da ya think i’m sexy?
willie nelson,blue eyes crying in the rain
the rolling stones,ruby tuesday (original stereo studio mix)
the beatles,with a little help from my friends (original stereo studio mix)
james brown,"say it loud (i'm black and i'm proud), part 1"
the jam,that’s entertainment
frankie lymon & the teenagers,why do fools fall in love?
jackie wilson,lonely teardrops
tina turner,what’s love got to do with it
black sabbath,iron man
the everly brothers,"wake up, little susie"
roy orbison,in dreams (1963 stereo version)
screamin’ jay hawkins,i put a spell on you
pink floyd,"comfortably numb (6:49 album version, including ""is there anybody out there"")"
pink floyd,comfortably numb (6:24 album version)
the animals,don’t let me be misunderstood
pink floyd,wish you were here
jimmy cliff,many rivers to cross
elvis costello & the attractions,alison
alice cooper,school’s out
led zeppelin,heartbreaker
neil young,cortez the killer (live)
public enemy,fight the power (album version)
patti smith group,dancing barefoot
the supremes,baby love
the rascals,good lovin’
james brown,get up (i feel like being a) sex machine
jerry butler,for your precious love
the doors,the end (original stereo studio mix)
"earth, wind & fire",that’s the way of the world
public enemy,fight the power
bonnie raitt,i can’t make you love me
bob dylan,subterranean homesick blues
norman greenbaum,spirit in the sky
the rolling stones,wild horses (original single stereo version)
the velvet underground,sweet jane (full length version)
aerosmith,walk this way
michael jackson,beat it
the velvet underground,sweet jane (full length version)
queen,we will rock you
paul mccartney,maybe i’m amazed
the supremes,you keep me hangin’ on (original release)
the who,baba o'riley
jimmy cliff,the harder they come
dion,runaround sue
lavern baker,jim dandy
big brother & the holding company,piece of my heart
ritchie valens,la bamba
2pac feat. dr. dre & roger troutman,california love
elton john,candle in the wind
the isley brothers,that lady
ben e. king,spanish harlem
little eva,the loco‐motion
the platters,the great pretender
elvis presley,all shook up
eric clapton,tears in heaven
elvis costello,watching the detectives
creedence clearwater revival,bad moon rising
eurythmics,sweet dreams (are made of this)
the jimi hendrix experience,little wing (original stereo studio mix)
martha and the vandellas,nowhere to run
muddy waters,got my mojo working
roberta flack,killing me softly with his song
the clash,complete control
the beatles,all you need is love (original stereo studio mix)
the box tops,the letter (mono single version)
bob dylan,highway 61 revisited (officially released stereo studio recording)
the righteous brothers,unchained melody
bee gees,how deep is your love
cream,white room
depeche mode,personal jesus (album version)
bo diddley,i’m a man
the jimi hendrix experience,the wind cries mary
the who,i can’t explain
television,marquee moon
sam cooke,wonderful world
chuck berry,brown eyed handsome man
pink floyd,"another brick in the wall, part 2"
radiohead,fake plastic trees
u2,pride (in the name of love)
r.e.m.,radio free europe
elton john,goodbye yellow brick road
aaron neville,tell it like it is
the verve,bitter sweet symphony
the allman brothers band,whipping post
the beatles,ticket to ride
"crosby, stills, nash & young",ohio
eric b. & rakim,i know you got soul
elton john,tiny dancer
the police,roxanne
the temptations,just my imagination (running away with me)
four tops,baby i need your loving
freda payne,band of gold
the five stairsteps,o‐o‐h child
the lovin’ spoonful,summer in the city
elvis presley,can’t help falling in love
the shangri‐las,remember (walkin’ in the sand)
big star,thirteen
blue öyster cult,(don’t fear) the reaper (single edit)
lynyrd skynyrd,sweet home alabama
metallica,enter sandman
